,TranslatedDescription,Assignment group
1313,accot lockic welco next avail agent shotly inteaction alet website visito join convesation jqxtbsp mpfdivlh  akthh davidthd,GRP_0
1314, change passwod sync new accot,GRP_0
1315, sign skype,GRP_0
1316,passwod eset use nothdaj,GRP_0
1317,cicuit outage  usa plant bld cab access switch ,GRP_8
1319,application plm convesion seve node host wan state monito toolwaning alwaysupsevice exe pocess cot,GRP_14
1325,job snp heu egen fail schedule,GRP_8
1331,cicuit outage india  ind caie dmvpn t  pimay type netwok xcicuit powe  specify top cet site  stat schedule maintence povide maint ticket backup active contact notify phone email emote dial equipnt eset veify wok vendo global telecom veizon gsc additiol diagnostics,GRP_8
1332,plan powe outage matlxjgi elndiuy  had  etwhat type netwok cicuit  specify top cet site  stat schedule maintence povide maint ticket backup active contact notify phone email emote dial equipnt eset veify wok vendo global telecom veizon gsc additiol diagnostics,GRP_8
1334,sod wok suspect email theatfom thaybd mhasttdd send satuday octobe nwfodmhc exucwkm ohthsit mhdyhtya inquiy puchase ode kindly check mail hope may jk neve et peson  show sende  open attachnt  fowad k  whethe opeycthbkm plvnuxmy cause issue like vius  database theft link  confim best,GRP_0
1335,inquiy ep sid maintence,GRP_0
1336,apac  multiple switch chn fpsf access pmw psf,GRP_8
1337,job bcv sid fail schedule,GRP_1
1344,pc hall nesne hea high load gemany heef eplacent aleady instal new one ode,GRP_33
1345,laptop model latitude speake woking ilypdtno mkdfetuq language bowse micosoft intenet exploe email custo numbe telephone summay wok,GRP_19
1346,job get fail due dbif sql sql eo issue,GRP_1
1347,netwok outage vogelfontein south afica  type cicuit powe  specify top cet site  stat schedule maintence  povide maint ticket backup active contact notify phone email emote dial equipnt eset veify wok vendo global telecom veizon gsc additiol diagnostics,GRP_8
1348,job bwsdslspln fail schedule,GRP_9
1352,seve lnbdm active diectoy locate philadelph ,GRP_8
1353,job ha sid ep dly fail schedule,GRP_8
1355,dive access equest  povide file host depatnt pess tool folde follow compute awywx awyl best,GRP_12
1358,pas wod eset  daypay use puatnpn best,GRP_0
1359,netwok outage enginee toolkuznetsk waehouse   type cicuit powe  specify top cet site  stat schedule maintence povide maint ticket backup active contact notify phone email emote dial equipnt eset veify wok vendo global telecom veizon gsc additiol diagnostics,GRP_8
1360,job sid filesys fail schedule,GRP_5
1361,vogelfontein south afica  zaf access com  inteface gigabitethenet uplink coe,GRP_8
1363, sync mail calenda mobile device,GRP_0
1365, connect netwok pinte pinte ticket update inplant,GRP_0
1367,passwod update  team   cuzhydjl fugwxdqh xico queetao fotute expie foget ente  system distibuto tool cm today  change web site give access  say,GRP_0
1368,netwok pinte wok  check  lsm connect send seveal doct sit queue tun say eady nothing happen,GRP_0
1370,folde delete host  estoe globaleng beyond machine gtc,GRP_5
1371, log ep netweave,GRP_0
1374,equest lock use accot sekaf   ,GRP_0
1376, cente accot add  delete item accidently ode section  estoe,GRP_21
1378,ceate delivey  fix apo kyuisti tuleythy usa site business mage mailto,GRP_6
1380,ceate telephony softwae gso new hie sewilxm cbikymvf,GRP_0
1381, save exe file    alyst attempt today ask put desk ticket poblem attach,GRP_3
1382,vip use  join skype et extel vendo,GRP_0
1383,alysis office aao tool install laptop,GRP_19
1384,eo sto possible combitionseo combition ente stock tansfe mateial plant,GRP_29
1385,system hang slow fomat einstall laptop get suddenly slow ,GRP_19
1386,java eo update intenet exploe,GRP_19
1387,access issue install softwae ask administato,GRP_19
1388,access deny collaboation platfom fince linklink use ,GRP_16
1389,lisdfysa eceive email gtslisdfysa include gts list co addess,GRP_2
1390,phone issue,GRP_0
1391,geneitc infomation,GRP_0
1393,click download pdf get pop allow  attachnt bthob ducyua put cm dymic com popup blocke wok know thing    collaboation platfom mine  close ticket do,GRP_0
1396,outlook issueoutlook issue  open new email espond,GRP_0
1398,lose connection hqn pesol dive shae desktop laptop  access long  map location successful,GRP_0
1399,cant  achive email outlook leave today tytse sylyhtsvesuyte  emailsoutlook,GRP_0
1400,ep pinte eouting uicjxvng jcoshmbf language bowse micosoft intenet exploe email custo numbe telephone summay  change default tansaction despite still pint wong,GRP_5
1401,inteface fastethenet cisco aicap  usa idf access com,GRP_8
1402, open sid passwod issue,GRP_0
1403,bobj difficulty obtain data must moning issue epot  soone  call,GRP_9
1404,ep passwod lock update magent tool mageeveything else wok sid,GRP_0
1405, login hub check pay statent,GRP_0
1406,host window disk space utilization alet utiliuytetion fee avail,GRP_12
1407,poblem ep sale info touble get figue field pull epot vkzwafuh tcjnuswg cmp application eng suthye kinght send wednesday octobe sntvfpbl vtokgley stuathsyt may put ticket fix,GRP_9
1408, ceate skype et onbehalf tomashtgd mchectg behalf mchectg,GRP_26
1409,inteface switch  deu gemany emsw access ,GRP_8
1410,issue view daw   attach doct eo ssage,GRP_0
1411,ndigg dxnzkcuh eqdgoxap effective appove  click link view,GRP_2
1412,  tab es,GRP_0
1413,let talk video play,GRP_0
1414,access ethic potali ecently switch accot  com whilst  log hub new cedential  potal get ssage welco business conduct cente tain site ecod indicate use collaboation platfom match file within active diectoy  submit ticket global suppot ensue netwok coectly ente ep giuliasa byhddeni benig,GRP_23
1415,issue micosoft office key en team enclose sceen shoot say copy pofessiol activate  suggest activation popup co automatically login outlook best,GRP_0
1416,ticket update use call infom kick emote minute connect wok fine,GRP_0
1417,enginee tool openmathv macyhtkey client open get eo ssage continue application impopely fomatheywted contact vendo assistance installed instal seveal ti,GRP_0
1418, access vpn compute  lcvl,GRP_34
1420,eo ssage  log puchase odeeo ode use cuthyniy attach email show eceive,GRP_0
1422,block expense epot,GRP_0
1423,confidential doct shae hub eveyone access link mikhghyt issue send iphone begin fowad ssage efdhlwv aoxtugz date octobe edt aedwpvo qbpafsx aqitplu beufloc itclukpe aimcfeko yjscozva lyjoeacv infomation bing attention moning kpudhygb vnizdeb seach usa job esult field think might want know open,GRP_16
1424,equest eset ep passwod,GRP_0
1425,usa backup exec seve gtsm file aid hdd physical disk,GRP_12
1426, open outlook mobile device activation,GRP_0
1427, eset passwod sid use maihtyhu,GRP_0
1428,use passwod fail   one appentice siythulkuujma  view salay statent due  ecove old vvkhyhums dhad wuz,GRP_0
1429,telefon defekt,GRP_33
1430,invoice eo,GRP_13
1431,accot lock ad,GRP_0
1432,skype accot login poblem ilypdtno mkdfetuq language bowse micosoft intenet exploe email custo numbe telephone summay poblem welco next avail agent shotly inteaction alet website visito join convesation dwfiykeo agtxmvcuma  face sign  povide passwod team viewe wok yup,GRP_0
1433,plm sevice epot status host,GRP_8
1434,monito tauschen dhoalycb yopvwjq,GRP_24
1435,passwod get synchonize,GRP_0
1436, login ethic   apac location many use eceive email tain complete find log display hint   change status back coect set,GRP_23
1437,cicuit outage  usa mpls t type netwok powe  specify top cet site  stat schedule maintence povide maint ticket backup active contact notify phone email emote dial equipnt eset veify wok vendo global telecom veizon gsc additiol diagnostics,GRP_8
1438,install office ewel qidgvtwa qvbutayx,GRP_24
1439,quote save mateial ceation pocess configue item engine bokenquote ep sid beak geneate eo ssage line specify positive value m change teday oct est seve ti notice numbe sequence yog exist neithe,GRP_20
1440,setup new batuhan gueduel,GRP_24
1441,setup new szockfpj izohlgcq,GRP_24
1442,setup new qdztknml hpcxnyq,GRP_24
1443,epot tool dashbankd appea cm page  though connect enginee show xfdkwusj gyklesa sale mage eathwok euopean seve aea south mailto  note new telephone numbe  addess effective infastuctue gmbh gesch ftsf he phvkowml azbtkqwx d uedlk mpvhakdq,GRP_22
1444,add lean eventi lach event icon collaboation platfom equest install micosoft vesion attach eo efeence,GRP_0
1445,accot access dyqekzuc djhznybt estoe ugently sit next long open many best,GRP_0
1446,poblem laptop latitude   get multiple instant shake sceen mail month  less efesh slow pocess  ful pom,GRP_19
1447,eset passwod imjwbogq xfizlp ep poduction ep daypay,GRP_0
1448,next issue bobj accot dbednyuaski hell bob wok best,GRP_9
1450,outlook feeze cm update,GRP_0
1451,poblem display open email  ti outlook long show give  set accodingly always ead best wish,GRP_0
1453,telephony softwae issue bad quality sod hoible custo had destand ask whethe side line say,GRP_7
1454,enginee tool ep wok,GRP_0
1455,  eset passwod magent tool,GRP_0
1456, exta awb copy vendo team kindly  assist mothe close shipnt caie audit pupose,GRP_18
1457,www  com show monito tool obseve alet  epot status compute amazows  investigate,GRP_51
1459,standby laptop mcae couse day oct  saavthsya  hall micosoft office adobe eade vlc  show  make eady today collect moning dept thank,GRP_19
1461,ep wok slow   teday moning action take yet  aise sev ticket aange esolve issue imdiately book ode custo quey get delay due await imdiate feedback,GRP_14
1462,business client authoisation  povide authoization check download daw employee,GRP_0
1465,eo sto plant ceate etun complain good find ssage   fix issue advise back aep,GRP_29
1466,condition type  team  change  check advise,GRP_13
1469,show text wite email quaantine notification fwd  mateial daw team ,GRP_26
1470, submit expense epot  soone  call  keep disconnect,GRP_0
1471, install enginee tool,GRP_0
1472,ode ship gind  feight chage cesco inwaehouse tool ef sale doc pod veify cost show incoect  advise system apply much high,GRP_18
1476,eset passwod bnoupaki cpeioxdz use magent tool,GRP_17
1477,impact awad emailfom nwqktzlx vnlqkgpb send thusday octobe nwfodmhc exucwkm phishing check e,GRP_0
1478,expense epot coect mage,GRP_0
1479, sync passwod accot,GRP_0
1481,get ptqx pint qxw dive load,GRP_3
1482,kpm issue upgade,GRP_0
1483,amssm volu disk space consu avail g,GRP_12
1484,blank call gso loud noise,GRP_0
1485,ep passwod eset use kambth exlbkpoj vkoqaje  daypay,GRP_0
1486,eset sid passwod jidhewlg jufskody  use olthyivect ep  sale mage wok  access due channel patne pogamdnty,GRP_0
1488, veification pope use idxszoedmc gmhkdsnw appoval puchase wok popely  veify samaccot lowecase xqtvanc kthqwxvb tegdtyyp ethd yhtheehey shyheehew,GRP_2
1489,outlook issue,GRP_0
1490,lean tacke mithyke tayjuoylo aithel shfsako get eo  open add event button pc,GRP_0
1491,msd office specifically outlookoutlook slow espond manually efesh update,GRP_0
1492,ho folde shae delegation dtheb mulhylen mullthyed lpoebzsc gknswyo mathhty vip  usa use access dive full  email telephone summay may know etie  octobe,GRP_2
1493,e ticket egiste tax code ep sid aleady appove email hea nothing   veify status ugency south aitca,GRP_10
1494,download pint daw ep netweave summay ,GRP_3
1495,outlook update cash intemittently,GRP_0
1496,host dev sid data space use,GRP_1
1498,mobile device activationfom sbgvncj idfhtoqv send thusday octobe pzcxbml vnjdghui nwfodmhc exucwkm jywvem qngschtz synchonization iphone outlook thsgy  option avail gso  open ticket appove many,GRP_0
1499, access assistant pogamdnty nx,GRP_2
1500, login collaboation platfom email addess passwod,GRP_0
1501,email delegationi would like todthyd enytne fowad accept vsp assu duty,GRP_26
1503,hpqc initialization eoing access eo fail contact system administato detail  loade log file failue,GRP_3
1504,static issue phone inteaction,GRP_0
1506, access emote fjaqbgnld yukdzwxswhen  eithe one eceive ssage page display,GRP_0
1507,enginee tool open,GRP_0
1509,email activation  povide device,GRP_0
1510, login  efe sceenshot  ugent,GRP_0
1511,office ask license key,GRP_0
1512,ep inbox egiste wok cente ea aeospace goup wokflow visible,GRP_13
1513,enginee tool  wok,GRP_0
1514, save doc dive intenet wok,GRP_0
1515, open excel file collaboation platfom wqxzleky uwjchqo language bowse micosoft intenet exploe email custo numbe telephone summay platfom get ssage seve espond location,GRP_0
1516,cicuit outage  usa ania t  est site backup cicuitwhat type netwok powe  specify top cet  stat schedule maintence povide maint ticket active contact notify phone email emote dial equipnt eset veify wok vendo global telecom veizon gsc additiol diagnostics,GRP_8
1517,e ticket egiste tax code ep sid amdntyassthywamy status,GRP_10
1518,msd cm popup  lch outlook feeze,GRP_0
1519, edit collaboation platfom budighfl izbxvay bowse micosoft intenet exploe email telephone summay,GRP_16
1520,m cm email co outlook,GRP_40
1521, login ethic,GRP_0
1523,secue logon wokwhen  initialize get ssage use passwod incoect log ealy moning wok fine phone,GRP_0
1524,accot lock window,GRP_0
1527,ticket quey egad,GRP_0
1530,new iphone get quaaintined,GRP_28
